Chper,Last,(Last-AvgLast)/AvgLast,RSI,Vol/AvgVol,MACD,Answer
0.051,395,0.015,0.571,0.75,0.167,0
-0.025,394,0.01,0.551,0.724,0.373,0
-0.025,393,0.005,0.531,0.758,0.452,0
0.025,394,0.005,0.549,0.789,0.588,0
-0.051,392,-0.002,0.507,0.691,0.528,0
0.026,393,0.001,0.527,1.065,0.556,1
-0.076,390,-0.008,0.468,0.978,0.331,0
0.026,391,-0.005,0.488,0.913,0.231,0
-0.205,383,-0.025,0.367,1.378,-0.488,0
0.052,385,-0.017,0.407,1.402,-0.886,0
0,385,-0.015,0.407,1.24,-1.188,0
-0.078,382,-0.021,0.366,1.334,-1.651,0
0.026,383,-0.015,0.388,1.371,-1.914,0
-0.052,381,-0.018,0.361,1.017,-2.258,0
0.105,385,-0.004,0.444,1.048,-2.183,0
-0.026,384,-0.005,0.429,0.869,-2.179,0
-0.104,380,-0.013,0.375,0.936,-2.47,0
-0.026,379,-0.013,0.363,0.866,-2.75,0
0.026,380,-0.007,0.384,0.811,-2.858,0
0.105,384,0.004,0.463,0.759,-2.591,0
-0.182,377,-0.014,0.373,1.089,-2.911,0
0.027,378,-0.009,0.391,0.928,-3.048,0
0.053,380,-0.003,0.427,0.89,-2.962,0
-0.026,379,-0.005,0.414,0.966,-2.94,0
0.026,380,-0.002,0.432,0.944,-2.809,0
-0.079,377,-0.008,0.392,0.88,-2.915,0
-0.053,375,-0.012,0.367,1.042,-3.124,0
-0.133,370,-0.023,0.314,1.381,-3.651,0
0.081,373,-0.013,0.373,1.24,-3.783,0
0.027,374,-0.009,0.391,1.24,-3.763,0
-0.027,373,-0.009,0.379,1.143,-3.784,0
0.136,374,-0.005,0.399,1.21,-3.678,0
-0.027,373,-0.007,0.386,0.839,-3.633,0
-0.027,372,-0.007,0.372,0.826,-3.636,0
0.108,376,0.005,0.455,0.876,-3.278,0
-0.053,374,0.001,0.425,0.844,-3.119,0
0.053,376,0.007,0.463,0.706,-2.8,0
0.106,380,0.017,0.53,0.783,-2.199,0
0,380,0.015,0.53,0.848,-1.703,0
-0.053,378,0.007,0.494,0.742,-1.455,0
0,378,0.006,0.494,0.639,-1.243,0
0,378,0.005,0.494,0.661,-1.063,0
0.185,385,0.023,0.61,0.988,-0.352,1
0.078,388,0.027,0.647,1.286,0.448,1
0,388,0.023,0.647,1.171,1.07,0
0,388,0.02,0.647,1.763,1.546,1
-0.13,381,-0.002,0.506,1.66,1.342,0
0.026,381,-0.004,0.507,1.353,1.167,0
0.026,382,-0.001,0.524,1.081,1.097,0
0,382,-0.002,0.524,1.058,1.029,0
0.052,384,0.002,0.559,0.683,1.124,0
-0.052,382,-0.004,0.518,0.513,1.026,0
-0.026,381,-0.008,0.498,0.552,0.857,0
0.079,384,0.001,0.553,0.639,0.955,0
0.026,385,0.004,0.57,0.719,1.1,0
0.104,389,0.016,0.631,0.864,1.521,0
0.103,393,0.026,0.68,1.192,2.152,0
-0.025,392,0.02,0.656,1.152,2.542,0
0.051,394,0.022,0.68,1.12,2.979,0
-0.025,393,0.017,0.656,1.17,3.206,0
0.025,394,0.016,0.668,1.107,3.428,0
0,394,0.014,0.669,1.021,3.563,0
0.152,400,0.026,0.736,2.001,4.107,1
0.05,402,0.026,0.754,1.663,4.645,1
-0.075,399,0.014,0.679,1.741,4.775,1
0.025,400,0.013,0.69,1.528,4.902,0
-0.025,399,0.007,0.665,1.482,4.866,0
0.025,400,0.008,0.678,1.006,4.863,0
-0.05,398,0.001,0.627,0.84,4.645,0
0.201,406,0.02,0.718,0.679,5.058,0
0,406,0.017,0.718,0.711,5.326,0
-0.049,404,0.009,0.671,0.709,5.315,0
0.05,406,0.011,0.692,0.82,5.405,0
-0.049,404,0.005,0.646,0.988,5.255,0
0.149,410,0.019,0.709,1.17,5.555,0
0.049,412,0.022,0.726,1.184,5.887,0
0.097,416,0.028,0.757,1.29,6.4,0
0.096,420,0.034,0.784,1.128,7.047,0
-0.095,416,0.019,0.701,1.016,7.155,0
-0.048,414,0.01,0.664,0.874,6.998,0
-0.193,406,-0.012,0.54,0.925,6.158,0
0.148,412,0.003,0.6,0.712,5.907,0
0.146,418,0.016,0.65,0.712,6.122,0
0,418,0.013,0.65,0.801,6.222,0
-0.096,414,0,0.593,0.797,5.909,0
-0.145,408,-0.016,0.519,0.813,5.118,0
0.245,418,0.009,0.607,1.04,5.238,0
0.096,422,0.018,0.635,1.123,5.592,0
0.047,424,0.023,0.649,1.237,5.964,0
-0.142,418,0.006,0.579,1.11,5.709,0
0.048,420,0.01,0.594,1.061,5.604,0
-0.048,418,0.002,0.571,0.945,5.298,0
0.239,428,0.024,0.646,0.99,5.796,0
0.047,430,0.027,0.658,0.919,6.28,0
-0.14,424,0.01,0.59,1.038,6.109,0
-0.14,424,0.007,0.59,1.117,5.905,0
0.094,428,0.013,0.62,1.144,5.997,0
0.047,430,0.015,0.635,1.104,6.16,0
-0.186,422,-0.006,0.545,1.127,5.579,0
-0.142,416,-0.019,0.488,1.144,4.583,0
-0.144,410,-0.033,0.44,1.163,3.271,0
0,410,-0.031,0.44,0.996,2.205,0
0,410,-0.029,0.44,0.987,1.347,0
0.146,416,-0.01,0.502,0.964,1.135,0
0.096,420,0.002,0.539,1.01,1.277,0
0,420,0.003,0.539,0.748,1.373,0
0,420,0.004,0.539,0.858,1.433,0
-0.095,416,-0.003,0.493,0.86,1.145,0
0,416,0,0.493,0.827,0.905,0
0.144,422,0.016,0.558,0.726,1.187,0
0.047,424,0.019,0.578,0.918,1.552,0
-0.094,420,0.006,0.528,0.962,1.503,0
-0.095,416,-0.006,0.483,0.939,1.128,0
-0.048,414,-0.012,0.461,0.951,0.661,0
0,414,-0.011,0.461,0.922,0.288,0
0.097,418,0,0.511,1.004,0.312,0
-0.144,412,-0.014,0.445,1.088,-0.152,0
-0.049,410,-0.017,0.425,0.997,-0.673,0
0.195,418,0.003,0.518,1.09,-0.436,0
-0.048,416,-0.002,0.496,1.044,-0.404,0
-0.048,414,-0.005,0.475,0.962,-0.534,0
0,414,-0.003,0.475,0.85,-0.631,0
-0.048,412,-0.006,0.453,0.888,-0.858,0
0.049,414,0,0.479,0.837,-0.867,0
0.048,416,0.004,0.505,0.817,-0.705,0
-0.048,414,-0.001,0.479,0.808,-0.728,0
-0.048,412,-0.005,0.454,0.87,-0.899,0
0,412,-0.005,0.454,0.945,-1.023,0
0.194,420,0.014,0.56,1.032,-0.468,0
0,420,0.014,0.56,1.027,-0.03,0
0.048,422,0.017,0.583,1.216,0.474,0
-0.047,420,0.011,0.552,1.151,0.704,0
0.048,422,0.014,0.576,1.186,1.035,0
0.048,422,0.012,0.576,1.125,1.283,0
0.142,428,0.024,0.644,1.339,1.942,0
-0.047,426,0.016,0.609,1.178,2.275,0
0.094,430,0.023,0.65,1.101,2.83,0
0.047,432,0.023,0.669,1.163,3.393,0
0.093,436,0.028,0.703,1.14,4.113,0
0.046,438,0.029,0.719,0.973,4.79,0
0.046,440,0.029,0.734,0.856,5.427,0
-0.045,438,0.02,0.694,0.926,5.702,0
0.183,446,0.034,0.752,0.887,6.492,0
0.045,448,0.033,0.764,0.801,7.197,0
-0.179,440,0.009,0.632,0.947,7.029,0
0,440,0.006,0.632,1.069,6.816,0
-0.045,438,-0.002,0.601,1.094,6.414,0
0.046,440,0.001,0.621,0.974,6.184,0
0.227,450,0.022,0.7,1.199,6.731,0
0.489,472,0.068,0.8,1.365,8.839,1
-0.085,468,0.051,0.751,1.258,10.07,0
-0.043,466,0.04,0.727,1.206,10.761,0
0,466,0.034,0.727,1.225,11.178,0
0.086,470,0.038,0.746,1.369,11.698,0
0.043,472,0.037,0.755,1.08,12.131,0
-0.042,470,0.026,0.727,1.002,12.172,0
0.298,484,0.049,0.786,1.033,13.183,0
-0.041,482,0.035,0.761,0.977,13.665,0
0.041,484,0.03,0.769,0.836,14.047,0
-0.083,480,0.014,0.717,0.823,13.866,0
-0.042,478,0.008,0.691,0.882,13.408,0
0.126,484,0.019,0.723,0.815,13.373,0
0.083,488,0.023,0.742,0.874,13.514,0
0.082,492,0.027,0.76,0.76,13.789,0
-0.122,486,0.01,0.684,0.86,13.369,0
0.082,490,0.015,0.705,0.918,13.206,0
0.163,498,0.027,0.742,0.972,13.567,0
-0.161,490,0.008,0.653,1.082,13.056,0
0.041,492,0.01,0.664,1.195,12.667,0
0.122,498,0.021,0.695,1.188,12.696,0
0.08,502,0.025,0.714,1.277,12.893,0
-0.04,500,0.016,0.691,1.276,12.742,0
-0.32,484,-0.019,0.541,1.65,11.201,0
0,484,-0.019,0.541,1.34,9.867,0
-0.083,480,-0.025,0.509,1.337,8.39,0
0,480,-0.024,0.509,1.264,7.137,0
0.167,488,-0.006,0.568,1.173,6.711,0
0,488,-0.004,0.568,0.821,6.303,0
-0.164,480,-0.02,0.498,0.773,5.272,0
0.125,486,-0.005,0.544,0.66,4.883,0
0,486,-0.002,0.544,0.54,4.523,0
0.041,488,0.005,0.559,0.609,4.348,0
0.041,490,0.012,0.575,0.58,4.322,0
0.653,522,0.076,0.735,1.531,6.804,1
0.345,540,0.105,0.784,1.784,10.108,1
-0.037,538,0.087,0.767,1.671,12.421,0
0.52,566,0.131,0.824,1.804,16.325,0
0.141,574,0.129,0.837,1.984,19.837,1
-0.105,568,0.099,0.792,1.544,21.883,0
-0.105,568,0.08,0.792,1.281,23.237,0
-0.211,556,0.041,0.704,1.218,23.076,0
0.108,562,0.039,0.72,1.089,23.165,0
-0.178,552,0.007,0.654,0.878,22.173,0
-0.217,540,-0.026,0.585,0.792,20.186,0
-0.148,532,-0.044,0.543,0.848,17.762,0
0.038,534,-0.039,0.552,0.869,15.818,0
0.449,558,0.005,0.639,0.824,16.03,0
0.143,566,0.021,0.663,0.858,16.652,0
