Chper,Last,(Last-AvgLast)/AvgLast,RSI,Vol/AvgVol,MACD,Answer
-0.25,273,-0.11,0.176,1.894,-13.18,0
-0.549,258,-0.147,0.142,2.037,-15.618,0
0.271,265,-0.105,0.217,1.749,-16.793,0
-0.943,240,-0.176,0.162,1.79,-19.515,0
0.5,252,-0.111,0.259,1.563,-20.469,0
-0.119,249,-0.103,0.251,1.259,-21.223,0
0.402,259,-0.046,0.323,0.962,-20.772,0
0.386,269,0.006,0.388,0.935,-19.386,0
-0.037,268,0.014,0.383,0.749,-18.159,0
-0.149,264,0.01,0.367,0.628,-17.309,0
0.076,266,0.024,0.382,0.625,-16.286,0
-0.075,264,0.019,0.373,0.584,-15.46,0
-0.152,260,0.002,0.355,0.559,-14.954,0
0,260,0.003,0.355,0.536,-14.389,0
0,260,-0.004,0.355,0.576,-13.78,0
0.115,263,0.004,0.382,0.722,-12.909,0
-0.266,256,-0.028,0.346,0.747,-12.636,0
-0.195,251,-0.046,0.322,0.834,-12.678,0
-0.199,246,-0.058,0.299,1.061,-12.965,0
0.041,247,-0.046,0.31,0.954,-12.962,0
0.121,250,-0.028,0.341,0.959,-12.573,0
0.2,255,-0.003,0.391,1.066,-11.726,0
-0.078,253,-0.007,0.378,0.93,-11.088,0
0.119,256,0.007,0.408,0.811,-10.223,0
-0.234,250,-0.015,0.37,0.872,-9.907,0
0.08,252,-0.003,0.39,0.832,-9.387,0
-0.198,247,-0.018,0.359,0.867,-9.272,0
0.121,250,-0.003,0.391,0.841,-8.836,0
-0.2,245,-0.022,0.359,0.927,-8.794,0
-0.082,243,-0.03,0.346,1.058,-8.819,0
-0.123,240,-0.04,0.328,1.046,-8.978,0
0.042,241,-0.033,0.341,0.997,-8.921,0
0.207,246,-0.007,0.4,1.051,-8.375,0
0.285,253,0.024,0.472,1.177,-7.294,0
0,253,0.026,0.472,1.104,-6.363,0
0.593,268,0.085,0.593,1.46,-4.365,1
-0.075,266,0.07,0.574,1.406,-2.91,0
0.226,272,0.086,0.614,1.43,-1.258,0
